name,address,phone,permit_type,score,date
KNUCKIES PIZZA & HOAGIES,"115 HICKORY ST ATHENS, GA 30601", (706) 395-4458, FS, 100, 03-13-2020
MOE'S SOUTHWEST GRILL,"1320 BAXTER ST ATHENS, GA 30606", (706) 369-7776, FS, 90, 03-12-2020
HARDEE'S #1506396,"3075 ATLANTA HWY ATHENS, GA 30606", (706) 247-7716, FS, 92, 03-12-2020
SCHLOTZSKY'S DELI,"1490 BAXTER ST ATHENS, GA 30606", (706) 543-1126, FS, 86, 03-12-2020
PRUITT HEALTH - ATHENS HERITAGE,"960 HAWTHORNE AVE ATHENS, GA 30601", (706) 549-1613, FS, 99, 03-12-2020
PEKING RESTAURANT,"2725 ATLANTA HWY ATHENS, GA 30606", (706) 549-9333, FS, 87, 03-12-2020
"ADD DRUG, INC.","1695 S LUMPKIN ST ATHENS, GA 30606", (706) 548-2239, FS, 86, 03-11-2020
PRUITT HEALTH - GRANDVIEW,"165 WINSTON RD ATHENS, GA 30607", (706) 549-6013, FS, 92, 03-11-2020
TOKYO EXPRESS,"690 N 29 HWY STE 130 ATHENS, GA 30601", (706) 543-8833, FS, 86, 03-10-2020
WAFFLE HOUSE,"2034 S MILLEDGE AVE ATHENS, GA 30605", (706) 353-7940, FS, 92, 03-10-2020
MARKER 7,"1195 S MILLEDGE AVE ATHENS, GA 30606", (706) 850-3451, FS, 97, 03-10-2020
CHICK-FIL-A ATLANTA HIGHWAY MOBILE,"3637 ATLANTA HWY ATHENS, GA 30606", (706) 369-1806, FS, 100, 03-10-2020
CHINA STAR,"3567 ATLANTA HIGHWAY ATHENS, GA 30606", (706) 316-3382, FS, 95, 03-09-2020
ARBOR TERRACE OF ATHENS,"170 MARILYN FARMER WAY ATHENS, GA 30606", (706) 353-0400, FS, 100, 03-09-2020
LICKIN' CHICKEN,"377 OAK ST ATHENS, GA 30601", (706) 850-6722, FS, 100, 03-09-2020
SIPS,"1390 PRINCE AVE ATHENS, GA 30606", (706) 363-7211, FS, 100, 03-09-2020
STUFFED,"11661 COMMERCE RD ATHENS, GA 30607", (706) 613-2410, FS, 88, 03-08-2020
WOK'S UP,"1791 OCONEE CONNECTOR STE 470 ATHENS, GA 30606", (706) 521-5486, FS, 95, 03-05-2020
RUTLAND ACADEMY,"1250 OGLETHORPE AVE ATHENS, GA 30606", (706) 549-3030, FS, 100, 03-05-2020
"UGA - EAST VILLAGE COMMONS, THE SUMMIT","80 CARLTON ST ATHENS, GA 30602",, FS, 97, 03-05-2020
UGA - EAST VILLAGE COMMONS COMMISSARY,"80 CARLTON ST ATHENS, GA 30602",, FS, 96, 03-05-2020
ZAXBY'S,"3704 ATLANTA HWY ATHENS, GA 30606", (706) 353-1030, FS, 97, 03-05-2020
DOMINO'S,"3190 ATLANTA HWY ATHENS, GA 30606", (706) 354-1179, FS, 94, 03-05-2020
TED'S MOST BEST,"254 W WASHINGTON ST ATHENS, GA 30601", (706) 543-1523, FS, 92, 03-05-2020
NEW RED BOWL ASIAN BISTRO,"1935 BARNETT SHOALS RD ATHENS, GA 30605", (706) 850-6757, FS, 82, 03-04-2020
LOS REYES,"1880 HIGHWAY 29 NORTH, SUITE C ATHENS, GA 30601",, FS, 96, 03-04-2020
CEDAR SHOALS HIGH SCHOOL,"1300 CEDAR SHOALS DR ATHENS, GA 30605", (706) 357-5305, FS, 100, 03-04-2020
PLAZA PERSONAL CARE HOME (WESLEY WOODS),"801 RIVERHILL DR ATHENS, GA 30606", (706) 369-7100, FS, 98, 03-04-2020
LANIER GARDENS/TALMADGE TERRACE/WESLEY WOODS,"801 RIVERHILL DR ATHENS, GA 30605", (706) 369-7100, FS, 96, 03-04-2020
SUBWAY,"220 E CLAYTON ST ATHENS, GA 30601", (706) 543-9990, FS, 92, 03-03-2020
ALPS ROAD ELEMENTARY,"200 ALPS RD ATHENS, GA 30606", (706) 548-2261, FS, 96, 03-03-2020
"CHICK-FIL-A ""DOWNTOWN ATHENS"" #4234","101 COLLEGE AVE ATHENS, GA 30601", (706) 546-1009, FS, 90, 03-03-2020
PUNTA CANA LATIN GRILL,"367 PRINCE AVE - SUITE 1 ATHENS, GA 30601",, FS, 95, 03-02-2020
VARSITY,"1000 WEST BROAD ATHENS, GA 30606",, FS, 88, 03-02-2020
MELLOW MUSHROOM,"320 E CLAYTON ST ATHENS, GA 30601",, FS, 90, 03-02-2020
SUBWAY,"824 HULL RD ATHENS, GA 30601", (706) 548-5583, FS, 92, 03-02-2020
STARLAND PIZZERIA AND PUB,"145 E CLAYTON ST ATHENS, GA 30601", (706) 613-8773, FS, 81, 02-28-2020
SOUTH JACKSON ELEMENTARY SCHOOL,"1630 NEW KINGS BRIDGE RD ATHENS, GA 30607", (706) 208-3552, FS, 96, 02-27-2020
PORTERHOUSE GRILL,"459 E BROAD ST ATHENS, GA 30606", (706) 369-990, FS, 91, 02-27-2020
MANNAWEENTA ETHIOPIAN/ERITREAN RESTAURANT,"1055 GAINES SCHOOL RD STE. 107 ATHENS, GA 30605", (706) 850-8422, FS, 90, 02-27-2020
ACC SENIOR CENTER - COMMUNITY COUNCIL ON AGING,"135 HOYT ST ATHENS, GA 30601", (706) 549-4850, FS, 99, 02-27-2020
DEPALMA'S ITALIAN CAFE VI,"2080 TIMOTHY RD STE C ATHENS, GA 30606", (706) 552-1237, FS, 92, 02-27-2020
BARBERITOS,"1880 EPPS BRIDGE PKWY STE 103 ATHENS, GA 30606", (706) 354-0300, FS, 80, 02-26-2020
FREDDY'S FROZEN CUSTARD,"2050 OCONEE CONNECTOR ATHENS, GA 30606", (706) 354-0671, FS, 90, 02-26-2020
"LAMPIN KITCHENS, LLC DBA DIABLOS SOUTHWEST GRILL","1791 OCONEE CONNECTOR STE 560 ATHENS, GA 30605", (706) 543-3399, FS, 92, 02-26-2020
RED CLAY CAFE (UGA),"80 CARLTON ST ATHENS, GA 30602",, FS, 96, 02-26-2020
THE ROYAL PEASANT,"1675 S LUMPKIN ST ATHENS, GA 30606", (706) 549-7920, FS, 94, 02-26-2020
JITTERY JOE'S - BROAD ST,"297 E BROAD ST ATHENS, GA 30606", (706) 613-7449, FS, 90, 02-26-2020
UGA - VILLAGE MARKET,"80 CARLTON ST ATHENS, GA 30602", (706) 542-4386, FS, 100, 02-26-2020
OGLETHORPE GARAGE,"1560 OGLETHORPE AVE ATHENS, GA 30606",, FS, 100, 02-26-2020
JITTERY JOE'S,"1860 BARNETT SHOALS RD ATHENS, GA 30605", (706) 354-8000, FS, 100, 02-26-2020
"POPEYE'S, SNS FOOD","1125 PRINCE AVE ATHENS, GA 30606", (706) 549-7461, FS, 95, 02-26-2020
BLIND PIG TAVERN EASTSIDE,"2301 COLLEGE STATION RD STE 10A, 11A, 12A ATHENS, GA 30605", (706) 850-4919, FS, 96, 02-25-2020
FULLY LOADED PIZZA,"1255 S MILLEDGE AVE ATHENS, GA 30605", (706) 215-9348, FS, 92, 02-25-2020
"KIMCHI AND GRITS, LLC DBA PAULEY'S CREPE BAR","134 E CLAYTON ST ATHENS, GA 30601", (706) 549-0034, FS, 87, 02-25-2020
LOCO'S DELI & PUB,"1985 BARNETT SHOALS RD ATHENS, GA 30605", (706) 208-0911, FS, 91, 02-24-2020
WENDY'S,"705 US HWY 29 NORTH ATHENS, GA 30601",, FS, 97, 02-24-2020
TACO BELL #30609,"2075 BARNETT SHOALS RD ATHENS, GA 30605", (706) 543-5355, FS, 82, 02-24-2020
TIMOTHY ROAD ELEMENTARY SCHOOL,"1900 TIMOTHY ROAD ATHENS, GA 30606",, FS, 100, 02-24-2020
TASTE OF INDIA,"1040 GAINES SCHOOL RD STE 119 ATHENS, GA 30605", (706) 559-0000, FS, 87, 02-24-2020
FOWLER DRIVE ELEMENTARY SCHOOL,"400 FOWLER DR ATHENS, GA 30601", (706) 357-5331, FS, 100, 02-24-2020
DOGWOOD DELI - PIEDMONT HOSPITAL,"1199 PRINCE AVE ATHENS, GA 30606", (706) 475-7000, FS, 87, 02-24-2020
LOGAN'S ROADHOUSE #319,"3668 ATLANTA HWY ATHENS, GA 30606", (706) 227-9890, FS, 91, 02-24-2020
FARM CART,"1074 BAXTER ST ATHENS, GA 30606", (706) 850-7931, FS, 96, 02-21-2020
PULASKI HEIGHTS BARBECUE,"675 PULASKI ST STE 100 ATHENS, GA 30601", (706) 583-9600, FS, 99, 02-21-2020
WHITEHEAD ELEMENTARY SCHOOL CAFE,"555 QUAILWOOD DR ATHENS, GA 30606", (706) 357-5260, FS, 100, 02-21-2020
UNIVERSITY 16 CINEMAS,"1793 OCONEE CONNECTOR ATHENS, GA 30606", (706) 355-9152, FS, 94, 02-20-2020
LA FIESTA MEXICAN RESTAURANT,"1395 COLLEGE STATION RD ATHENS, GA 30605", (706) 549-5933, FS, 91, 02-20-2020
"CHARLIE GRAINGERS HOTDOGS, BRISKET & BBQ","1791 OCONEE CONNECTOR STE 420 ATHENS, GA 30606", (706) 521-5767, FS, 97, 02-19-2020
WENDY'S,"1011 JORDAN RD ATHENS, GA 30606", (706) 227-2950, FS, 94, 02-19-2020
IHOP RESTAURANT,"1061 PARKWAY PL ATHENS, GA 30606", (706) 353-0344, FS, 89, 02-19-2020
LITTLE CAESAR'S PIZZA,"1021 PARKWAY BLVD ATHENS, GA 30606",, FS, 94, 02-19-2020
FRUTTA BOWLS,"245 OCONEE ST ATHENS, GA 30601", (706) 514-0060, FS, 91, 02-19-2020
BARROW ELEMENTARY SCHOOL,"100 PINECREST DR ATHENS, GA 30605", (706) 543-2676, FS, 96, 02-19-2020
AMERICAN DELI,"3700 ATLANTA HWY STE FC4 ATHENS, GA 30606", (706) 543-3009, FS, 90, 02-19-2020
YOUR PIE,"196 ALPS RD ATHENS, GA 30606", (706) 549-3179, FS, 92, 02-19-2020
CLOCKED,"259 W WASHINGTON ST ATHENS, GA 30601", (706) 548-9175, FS, 93, 02-19-2020
PLANET SMOOTHIE,"1993 BARNETT SHOALS RD ATHENS, GA 30605", (706) 353-8181, FS, 92, 02-19-2020
CHINA WOK,"2475 JEFFERSON RD STE 500 ATHENS, GA 30607", (706) 353-3399, FS, 87, 02-18-2020
SR SOL MEXICAN RESTAURANT,"175 B TALLASSEE ROAD ATHENS, GA 30606", (706) 546-1570, FS, 94, 02-18-2020
IRON WORKS CAFE @ THE GRADUATE ATHENS HOTEL,"295 E DOUGHERTY ST ATHENS, GA 30601", (706) 549-7020, FS, 81, 02-17-2020
STARBUCKS COFFEE AT TARGET,"3065 ATLANTA HWY ATHENS, GA 30606", (706) 208-9379, FS, 100, 02-17-2020
CHICK-FIL-A,"3637 ATLANTA HWY ATHENS, GA 30606", (706) 369-1806, FS, 99, 02-17-2020
HOWARD B STROUD ELEMENTARY SCHOOL,"715 FOURTH ST ATHENS, GA 30601", (706) 357-5252, FS, 99, 02-14-2020
J. BUFFALO WINGS,"1805 EPPS BRIDGE PKWY STE 103 ATHENS, GA 30606", (706) 353-0823, FS, 85, 02-13-2020
GRINDHOUSE KILLER BURGERS,"1553 S. LUMPKIN STREET ATHENS, GA 30605", (706) 612-9327, FS, 91, 02-13-2020
MCDONALD'S,"2230 W BROAD ST ATHENS, GA 30601", (706) 549-7313, FS, 94, 02-13-2020
BURGER KING #4183,"1960 BARNETT SHOALS RD ATHENS, GA 30605", (706) 400-6353, FS, 86, 02-13-2020
ZAXBY'S,"1800 EPPS BRIDGE PKWY ATHENS, GA 30606", (706) 227-0811, FS, 94, 02-12-2020
"COOK OUT - ATHENS, INC.","1020 JORDAN DR ATHENS, GA 30606", (706) 425-8662, FS, 98, 02-12-2020
KELLY'S JAMAICAN FOOD,"145 EPPS BRIDGE PKWY ATHENS, GA 30606", (706) 208-0000, FS, 85, 02-12-2020
JAVA HUT,"3700 ATLANTA HWY STE K-11 ATHENS, GA 30606", (706) 548-7177, FS, 96, 02-12-2020
KRYSTAL,"1085 PRINCE AVENUE ATHENS, GA 30606",, FS, 93, 02-12-2020
FOLEY FIELD BB1 ARAMARK,"E RUTHERFORD ST ATHENS, GA 30602",, FS, 100, 02-12-2020
COUNTRY INN & SUITES,"236 OLD EPPS BRIDGE RD ATHENS, GA 30606", (706) 612-9100, FS, 93, 02-12-2020
BARBERITOS,"1739 S LUMPKIN ST ATHENS, GA 30606", (706) 548-1866, FS, 83, 02-11-2020
DUNKIN' DONUTS/BASKIN ROBBINS,"771 PRINCE AVE ATHENS, GA 30606", (706) 548-3444, FS, 92, 02-11-2020
UNCLE ERNIE'S,"235 W WASHINGTON ST ATHENS, GA 30601", (706) 850-8990, FS, 92, 02-11-2020
HILSMAN MIDDLE SCHOOL,"870 GAINES SCHOOL RD ATHENS, GA 30605",, FS, 97, 02-11-2020
HEIRLOOM CAFE & FRESH MARKET,"815 N CHASE ST ATHENS, GA 30601", (706) 354-7901, FS, 93, 02-11-2020
JERSEY MIKE'S SUBS,"690 N 29 HWY STE 125 ATHENS, GA 30601", (706) 353-4655, FS, 96, 02-10-2020
SCOTT & BJ'S BBQ,"4007 DANIELSVILLE RD ATHENS, GA 30601", (706) 546-1005, FS, 87, 02-07-2020
AKADEMIA BREWING COMPANY,"150 CRANE DR. ATHENS, GA 30606",, FS, 93, 02-06-2020
DOMINO'S,"824 HULL RD ATHENS, GA 30601", (706) 552-1213, FS, 93, 02-06-2020
DQ GRILL & CHILL,"900 US HWY. 29 N ATHENS, GA 30601",, FS, 91, 02-06-2020
CICI'S PIZZA,"3190 ATLANTA HWY ATHENS, GA 30606", (706) 613-2424, FS, 96, 02-06-2020
THE OFFICE SPORTS BAR AND GRILL OF ATHENS,"135 W WASHINGTON ST ATHENS, GA 30601", (706) 521-5898, FS, 70, 02-05-2020
JIMMY JOHN'S,"2301 COLLEGE STATION RD ATHENS, GA 30605", (706) 543-5411, FS, 100, 02-05-2020
FIREHOUSE SUBS,"1226 PRINCE AVE ATHENS, GA 30606", (706) 357-4994, FS, 84, 02-05-2020
STARBUCKS - DOWNTOWN COLLEGE AVENUE #8327,"100 COLLEGE AVE ATHENS, GA 30601", (706) 543-0114, FS, 100, 02-05-2020
AMERICAN DELI,"1880 EPPS BRIDGE PKWY 108-109 ATHENS, GA 30606", (706) 540-7707, FS, 92, 02-04-2020
CATERPILLAR CAFETERIA,"250 DOZER DR ATHENS, GA 30606", (678) 753-3472, FS, 99, 02-04-2020
SOUTH KITCHEN & BAR,"247 E WASHINGTON ST STE 101 ATHENS, GA 30601", (706) 395-6125, FS, 99, 02-04-2020
JASON'S DELI,"140 ALPS ROAD ATHENS, GA 30606",, FS, 97, 02-04-2020
THE CRAB HUT,"2361 W BROAD ST STE 4 ATHENS, GA 30606", (706) 850-6173, FS, 93, 02-04-2020
ATHENS BAGEL COMPANY,"268 N JACKSON ST ATHENS, GA 30601", (704) 543-5001, FS, 87, 02-04-2020
PIZZA HUT 36063,"680 US 29 HWY. N STE 215 ATHENS, GA 30601", (706) 354-0225, FS, 91, 02-03-2020
SUBWAY,"1194 PRINCE AVE ATHENS, GA 30606", (706) 353-2286, FS, 94, 02-03-2020
UTAGE,"440 E CLAYTON ST ATHENS, GA 30601", (706) 227-9338, FS, 83, 02-03-2020
ZAXBY'S,"820 HULL RD ATHENS, GA 30601", (706) 354-1100, FS, 91, 01-31-2020
W.R. COILE MIDDLE SCHOOL,"110 OLD ELBERTON ROAD ATHENS, GA 30601",, FS, 100, 01-31-2020
J.J. HARRIS ELEMENTARY SCHOOL,"2300 DANIELSVILLE ROAD ATHENS, GA 30601",, FS, 96, 01-31-2020
FRESH AIR BBQ,"1110 HULL RD ATHENS, GA 30601", (706) 546-6060, FS, 93, 01-30-2020
SUBWAY,"4375 LEXINGTON RD ATHENS, GA 30605", (706) 549-8776, FS, 90, 01-30-2020
BOJANGLES,"3210 LEXINGTON RD ATHENS, GA 30605", (706) 850-0316, FS, 99, 01-30-2020
MCDONALD'S,"150 GAINES SCHOOL RD ATHENS, GA 30605", (706) 543-8010, FS, 93, 01-30-2020
LITTLE CAESARS OF ATHENS,"1063 BAXTER ST STE 400 ATHENS, GA 30606", (706) 765-6020, FS, 85, 01-29-2020
ACC CORRECTIONAL INSTITUTE,"2825 COUNTY FARM RD ATHENS, GA 30605", (706) 613-3400, FS, 92, 01-29-2020
WHIT DAVIS ELEMENTARY SCHOOL,"1450 WHIT DAVIS ROAD ATHENS, GA 30605",, FS, 100, 01-29-2020
BARNETT SHOALS ELEMENTARY SCHOOL,"2330 BARNETT SHOALS RD ATHENS, GA 30605", (706) 357-3535, FS, 100, 01-29-2020
TAQUERIA LA PARRILLA,"855 GAINES SCHOOL RD STE B-E ATHENS, GA 30605", (706) 548-5040, FS, 99, 01-29-2020
DEPALMA'S ITALIAN CAFE,"1965 BARNETT SHOALS RD ATHENS, GA 30605", (706) 369-0085, FS, 91, 01-28-2020
JIMMY JOHN'S,"600 BAXTER ST ATHENS, GA 30601", (706) 613-0500, FS, 95, 01-27-2020
DQ GRILL & CHILL,"3465 JEFFERSON RD STE A ATHENS, GA 30607", (706) 548-3535, FS, 95, 01-27-2020
BRETT'S CASUAL AMERICAN RESTAURANT,"3190 ATLANTA HWY STE 11 ATHENS, GA 30606", (706) 850-1395, FS, 91, 01-27-2020
DUNKIN DONUTS,"935 N 29 HWY ATHENS, GA 30601", (706) 548-6338, FS, 92, 01-27-2020
WAFFLE HOUSE #2099,"1825 BARNETT SHOALS RD ATHENS, GA 30605", (706) 208-1252, FS, 96, 01-27-2020
GAINES SCHOOL ELEMENTARY,"900 GAINES SCHOOL ROAD ATHENS ATHENS, GA 30605",, FS, 100, 01-24-2020
DAIRY QUEEN,"376 OAK ST ATHENS, GA 30605", (706) 208-0507, FS, 100, 01-23-2020
CHINA 1,"2026 S MILLEDGE AVE ATHENS, GA 30605", (706) 850-7788, FS, 95, 01-23-2020
AUTOMATIC PIZZA,"1397 PRINCE AVE ATHENS, GA 30606", (706) 850-2037, FS, 98, 01-22-2020
MCDONALD'S,"1124 PRINCE AVE ATHENS, GA 30601", (706) 543-0548, FS, 94, 01-22-2020
HARDEE'S #1506361,"4365 LEXINGTON RD ATHENS, GA 30605", (706) 395-2496, FS, 81, 01-22-2020
STARBUCKS COFFEE #11174,"10 HUNTINGTON RD ATHENS, GA 30606", (706) 353-6632, FS, 93, 01-22-2020
DUNKIN' DONUTS/BASKIN ROBBINS,"1045 GAINES SCHOOL RD STE A ATHENS, GA 30605", (706) 353-7166, FS, 90, 01-22-2020
THAI SPOON,"149 N LUMPKIN ST ATHENS, GA 30601", (706) 548-9222, FS, 88, 01-21-2020
BURNEY HARRIS LYONS MIDDLE SCHOOL,"1600 TALLASSEE RD ATHENS, GA 30606", (706) 357-5264, FS, 99, 01-21-2020
WING ZONE,"142 W CLAYTON ST ATHENS, GA 30601", (706) 214-2536, FS, 96, 01-21-2020
WAFFLE HOUSE #1689,"461 CALHOUN DR ATHENS, GA 30601", (706) 548-9138, FS, 92, 01-17-2020
ARBY'S,"2362 WEST BROAD ST ATHENS, GA 30606", (706) 549-5960, FS, 96, 01-17-2020
SUBWAY,"3465 JEFFERSON RD ATHENS, GA 30607", (678) 544-5845, FS, 92, 01-17-2020
CLARKE CENTRAL HIGH SCHOOL,"350 S MILLEDGE AVE ATHENS, GA 30605", (706) 357-5205, FS, 100, 01-17-2020
DOMINO'S 5753,"2824 LEXINGTON RD ATHENS, GA 30605", (706) 353-3737, FS, 93, 01-16-2020
PANERA BREAD,"3151 ATLANTA HWY ATHENS, GA 30606", (706) 546-6812, FS, 87, 01-16-2020
ZOMBIE COFFEE & DONUTS,"350 E BROAD ST ATHENS, GA 30601", (706) 850-2526, FS, 97, 01-16-2020
NEWK'S EATERIES,"1850 EPPS BRIDGE PKWY STE 109 ATHENS, GA 30606", (706) 543-5700, FS, 95, 01-15-2020
JITTERY JOE'S COFFEE,"1880 EPPS BRIDGE PKWY STE 101 ATHENS, GA 30606", (706) 354-8900, FS, 97, 01-15-2020
BURGER KING #2199,"999 HAWTHORNE AVE ATHENS, GA 30606", (706) 400-6350, FS, 83, 01-15-2020
SONIC DRIVE-IN,"4340 LEXINGTON RD ATHENS, GA 30605", (706) 208-0210, FS, 94, 01-15-2020
APPLEBEE'S,"2226 W BROAD ST ATHENS, GA 30606", (706) 543-1339, FS, 84, 01-15-2020
I HEART MAC & CHEESE,"165 HICKORY ST ATHENS, GA 30601", (706) 945-3585, FS, 95, 01-15-2020
CHASE STREET ELEMENTARY SCHOOL,"757 NORTH CHASE STREET ATHENS, GA 30606",, FS, 100, 01-14-2020
CHICK-FIL-A,"1870 EPPS BRIDGE PKWY ATHENS, GA 30606", (706) 369-9500, FS, 96, 01-14-2020
MAEPOLE,"1021 N CHASE ST ATHENS, GA 30601", (706) 850-3600, FS, 97, 01-14-2020
BEEF 'O' BRADY'S,"1860 BARNETT SHOALS RD STE 101 ATHENS, GA 30605", (706) 850-1916, FS, 98, 01-14-2020
"BARNES AND NOBLE BOOKSELLERS, INC. #2974","3650 ATLANTA HWY ATHENS, GA 30606", (706) 354-1195, FS, 100, 01-14-2020
WILLY'S MEXICANA GRILL,"196 ALPS ROAD ATHENS, GA 30606",, FS, 100, 01-14-2020
TAQUERIA LA PARRILLA,"2439 JEFFERSON RD ATHENS, GA 30607", (706) 549-4977, FS, 80, 01-13-2020
KRYSTAL,"4005 LEXINGTON RD ATHENS, GA 30605", (706) 552-3585, FS, 95, 01-13-2020
GIANA'S MEXICAN GRILL,"1280 OCONEE STREET ATHENS, GA 30605",, FS, 89, 01-13-2020
STEAK 'N SHAKE,"2033 W BROAD ST ATHENS, GA 30606", (706) 353-6969, FS, 83, 01-13-2020
THE SILVER DOLLAR BAR,"262 COLLEGE AVE ATHENS, GA 30601", (706) 353-3093, FS, 91, 01-10-2020
"TEAM B AND B, LLC","745 DANIELSVILLE RD B ATHENS, GA 30601", (706) 543-8326, FS, 99, 01-09-2020
PIZZA HUT 36041,"1995 BARNETT SHLS ATHENS, GA 30605", (706) 546-6100, FS, 86, 01-08-2020
JITTERY JOE'S,"1230 S MILLEDGE AVE ATHENS, GA 30605", (706) 208-1979, FS, 88, 01-07-2020
STARBUCKS - KROGER HWY 29,"700 US HWY 29 N ATHENS, GA 30601", (706) 715-3738, FS, 94, 01-07-2020
BURGER KING #9691,"600 N 29 HWY ATHENS, GA 30601", (706) 400-6354, FS, 90, 01-07-2020
TACO BELL,"2036 OCONEE CONNECTOR ATHENS, GA 30606", (706) 549-1204, FS, 96, 01-06-2020
CHUCK E CHEESE'S #612,"3654 ATLANTA HWY STE I ATHENS, GA 30606", (706) 353-8070, FS, 82, 01-06-2020
POKE BAR,"1791 OCONEE CONNECTOR STE 740 ATHENS, GA 30606", (706) 850-3410, FS, 91, 01-06-2020
OUTBACK STEAKHOUSE,"3585 ATLANTA HWY ATHENS, GA 30606", (706) 613-6015, FS, 87, 01-06-2020
ATHENS PIZZA,"2024 S. MILLEDGE AVE. SUITE B ATHENS, GA 30605",, FS, 93, 01-02-2020
AGUA LINDA TAQUERIA,"1376 PRINCE AVE ATHENS, GA 30606", (706) 543-1500, FS, 90, 12-31-2019
WEAVER D'S,"1016 E BROAD ST ATHENS, GA 30601", (706) 353-7797, FS, 99, 12-31-2019
DONNA CHANG'S,"1664 S LUMPKIN ST ATHENS, GA 30606", (706) 215-9100, FS, 99, 12-30-2019
GEORGIA THEATRE,"215 N LUMPKIN ST ATHENS, GA 30601", (706) 850-7670, FS, 96, 12-30-2019
LRG PROVISIONS,"1653 S LUMPKIN ST ATHENS, GA 30606", (706) 850-2020, FS, 96, 12-30-2019
FUZZY'S TACO SHOP,"235 LUMPKIN ST ATHENS, GA 30601", (706) 353-0305, FS, 86, 12-30-2019
HOLIDAY INN EXPRESS,"513 W BROAD ST ATHENS, GA 30601", (706) 546-8122, TA, 100, 12-30-2019
1785 BAR AND GRILL,"420 E. CLAYTON STREET ATHENS, GA 30601",, FS, 90, 12-30-2019
HYATT PLACE,"412 N. THOMAS STREET ATHENS, GA 30601",, FS, 96, 12-30-2019
HYATT PLACE,"412 N THOMAS ST ATHENS, GA 30601", (706) 425-1800, TA, 100, 12-30-2019
BULLDOG INN,"1225 COMMERCE RD ATHENS, GA 30607", (706) 543-3611, TA, 89, 12-30-2019
SQUARE ONE FISH COMPANY,"1298 PRINCE AVE ATHENS, GA 30601", (706) 353-8862, FS, 99, 12-30-2019
JOJO'S GOURMET LEMONADE,"3700 ATLANTA HWY ATHENS, GA 30606",, FS, 95, 12-27-2019
BEST WESTERN ATHENS,"170 N MILLEDGE AVE ATHENS, GA 30601", (706) 546-7311, TA, 100, 12-27-2019
WINGATE BY WYNDHAM,"255 NORTH AVE ATHENS, GA 30601", (706) 995-4000, TA, 100, 12-27-2019
THE COLONELS B&B,"3890 BARNETT SHOALS RD ATHENS, GA 30605", (706) 559-9595, TA, 100, 12-20-2019
WENDY'S,"415 PRINCE AVE ATHENS, GA 30601", (706) 850-3143, FS, 94, 12-20-2019
HOLIDAY INN,"197 EAST BROAD ST ATHENS, GA 30601", (706) 549-4433, TA, 98, 12-19-2019
THE FOUNDRY RESTAURANT AND BAR @ GRADUATE ATHENS,"295 E DOUGHERTY ST ATHENS, GA 30601", (706) 549-7020, FS, 95, 12-19-2019
HOLY CREPE LLC - MOBILE,"197 PARK AVE ATHENS, GA 30601", (706) 765-7087, FS, 92, 12-18-2019
9D'S BAR,"400 CLAYTON ST STE B ATHENS, GA 30601", (706) 461-0482, FS, 95, 12-18-2019
LITTLE CAESARS PIZZA,"4375 LEXINGTON RD STE C8 ATHENS, GA 30605", (706) 354-7800, FS, 94, 12-18-2019
PLANTATION BUFFET,"1119 DR MARTIN LUTHER KING PKWY ATHENS, GA 30601", (706) 353-3663, FS, 90, 12-18-2019
CAFE BOTANICA (UGA),"2450 S MILLEDGE AVE ATHENS, GA 30606", (706) 542-6359, FS, 97, 12-18-2019
SEABEAR OYSTER BAR,"297 PRINCE AVE STE 10 ATHENS, GA 30601", (706) 850-4367, FS, 96, 12-18-2019
STARBUCKS - TATE CENTER (UGA),"45 BAXTER ST ATHENS, GA 30602", (706) 583-0851, FS, 100, 12-18-2019
TLALOC,"1225 N CHASE ST ATHENS, GA 30607", (706) 613-9301, FS, 90, 12-18-2019
FOOD FOR THE SOUL,"1965 W BROAD ST ATHENS, GA 30606", (706) 546-0052, FS, 90, 12-17-2019
40 WATT CLUB,"285 W WASHINGTON ST ATHENS, GA 30601", (706) 549-7871, FS, 100, 12-17-2019
BRUSTER'S REAL ICE CREAM,"1029 PARKWAY PL ATHENS, GA 30606", (706) 850-1249, FS, 96, 12-16-2019
TAQUERIA TSUNAMI,"320 E CLAYTON ST ATHENS, GA 30601", (706) 621-7999, FS, 90, 12-16-2019
SISTER LOUISA'S CHURCH,"254 W CLAYTON ST ATHENS, GA 30601", (404) 550-8609, FS, 100, 12-16-2019
HOLY CREPE LLC - BASE,"197 PARK AVE ATHENS, GA 30601", (706) 765-7087, FS, 90, 12-13-2019
THE RAIL,"1120 MITCHELL BRIDGE RD ATHENS, GA 30606", (706) 354-7829, FS, 84, 12-13-2019
COURTYARD ATHENS DOWNTOWN,"166 N FINLEY ST ATHENS, GA 30601", (706) 369-7000, TA, 100, 12-13-2019
HOMEWOOD SUITES,"750 EAST BROAD ST ATHENS, GA 30601", (706) 548-3500, TA, 96, 12-12-2019
AHI HIBACHI AND POKE,"489 EAST CLAYTON ST ATHENS, GA 30601", (706) 543-8898, FS, 90, 12-11-2019
THE GLOBE,"199 N LUMPKIN ST ATHENS, GA 30601", (706) 353-4721, FS, 92, 12-11-2019
WOODFORD,"120 E WASHINGTON ST ATHENS, GA 30601", (678) 358-6822, FS, 97, 12-09-2019
HILTON GARDEN INN,"390 EAST WASHINGTON ST ATHENS, GA 30601", (706) 353-6800, TA, 98, 12-09-2019
